diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,likes,comments,views,bud_dry_weight,bud_wet_weight
1st Grows (6/april/2022),Sunset Sherbet Automatic,Zamnesia Seeds,1000 watt,"Zamnesia,RQS Organic Nutrients,",Manual,"Other Grow Medium,",Other,,,4,,7,9,217,,
Grande crack auto,Auto Grande Crack,BulkSeedBank,,,Manual,"Coco Coir Grow Medium,Vermiculite Grow Medium,Perlite Grow Medium,",,,,10,1,2,5,309,,1.06
Apple Candie,Apple Candie,Elev8 Seeds,300 watt,"Dr. Earth,Advanced Nutrients,Botanicare,",Manual,"Soil Grow Medium,",,"LST,HST,SoG,Topping,Defoliation,",,9,2,3,3,1054,,
Criminal+ Ripper Seeds Первый гров индор,Criminal +,Ripper Seeds,163 watt,"BioBizz,",Manual,"Земля Grow Medium,",Other,"LST,Topping,",,12,,44,31,1227,,4.59
First Grow/Mini Grow/TangerineDreamAuto,Tangerine Dream Auto,Barney'S Farm,80 watt,"BioBizz,PLAGRON.,Aptus,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Other,"LST,Topping,HST,Main-Lining,ScrOG,",2.58,14,1,12,15,898,0.99,5.11
Jo-jos jungle,Sweetberry Cough Auto,Garden Of Green,728 watt,"Fox Farm,",Manual,"Gorilla Grow Tent GGT 5x9,Soil Grow Medium,",Paper Towel,,,4,1,9,7,265,,
First time w. Danka!,Dankalato - Dank Genetics Seed Co,Custom Breeder & Strain,,,Manual,,Glass Of Water,"SoG,",,22,,44,18,303,,
Strawberry Cough ( Bertha ),Strawberry Cough,Crop King Seeds,450 watt,"Fox Farm,",Manual,"Other Grow Medium,Perlite Grow Medium,Worm cast Grow Medium,",,"Topping,Defoliation,LST,ScrOG,",65.62,12,1,23,13,354,,5.75
Culture amateur,Gelato,Zamnesia Seeds,,"Zamnesia,",Manual,"Terreau Grow Medium,Compost Grow Medium,Smart Start Zamnesia Grow Medium,",Other,,,VEGETATION,,1,2,93,,
Mimosa cake auto,Mimosa Cake Auto,Fast Buds,100 watt,"PLAGRON.,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Soil Grow Medium,",,"LST,Defoliation,",,15,1,49,20,1108,,1.98
KushRun,Special Kush #1,Royal Queen Seeds,150 watt,"BioBizz,",Manual,"Coco Coir Grow Medium,",Directly In Substrate,"HST,LST,ScrOG,",10.76,18,1,41,13,1041,4.94,4.41
Gorilla cookies Fast Buds - Marshydro,Gorilla Cookies Auto,Fast Buds,150 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,Vermiculite Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Expanded Clay Grow Medium,",,"LST,Defoliation,",,11,1,7,5,913,1.59,4.23
Cultivando Autoflorecientes de FastBuds,Gorilla Cookies Auto,Fast Buds,150 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",,"LST,Defoliation,",,11,1,10,8,886,,4.23
5 Sour D Autoflowers,Sour Diesel Autoflower,ILGM,,"Fish Head Farms,Down To Earth,Real Growers,",Manual,"Soil Grow Medium,",Directly In Substrate,,,13,4,6,6,372,,0.53
Northern Lights Autoflower Spring 2022,Northern Lights Autoflower,ILGM,"LED / 27W 24 Inch Vertical Mount Full Spectrum,LED / 2000W Custom,","Fish Head Farms,Down To Earth,Real Growers,",Manual,"Soil Grow Medium,",Directly In Substrate,,,12,1,11,7,731,,1.06
Starr's Wifi 43 x Chemdog D,CSI: Humboldt White Fire #43 x Chemdog D,Custom Breeder & Strain,150 watt,"Real Growers,Dutchpro USA,Xtreme Gardening,",Manual,"Soil Grow Medium,",Glass Of Water,"Topping,Defoliation,",,20,4,44,7,539,,
White Runtz Final Grow,white runtz,Custom Breeder & Strain,450 watt,"General Hydroponics (GHE),Mammoth Microbes,Growth Technology,",Hydroponics,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Super cropping,LST,HST,FIMing,Defoliation,ScrOG,",82.02,9,1,3,2,185,,275
Sluricaine,Slurricane,In House Genetics,1200 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,",,,328.08,18,4,0,0,298,,5
MEDEA AUTO,Medea Autoflowering,Caucasian Seeds,480 watt,"General Hydroponics (GHE),",,"Gorilla Soil Grow Medium,Gorilla Coco Grow Medium,",,"LST,Defoliation,",6.46,10,1,116,8,403,8.29,44.45
Barney's Farm & Biotabs,Lemon Tree,Barney'S Farm,111 watt,"Bio Tabs,",Manual,"Soil Grow Medium,Coco Coir Grow Medium,",Paper Towel,"FIMing,Defoliation,Super cropping,LST,",,16,1,51,20,3768,,
Sweet ZZ by RQS,Sweet ZZ,Royal Queen Seeds,100 watt,"RQS Organic Nutrients,",Manual,"AC Infinity Cloudlab 422 Advance Grow Tent 2x2 (24"" X 24"" X 48""),Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Peat Pellet,"ScrOG,LST,Defoliation,Topping,Main-Lining,",6.56,16,1,33,39,812,1.59,5.96
#AutoSkunk #GHouseSeeds #DutchSeedsBank,Skunk Auto,Green House Seed Co.,100 watt,"BioBizz,Advanced Nutrients,",Manual,"Soil Grow Medium,",,"flusing,HST,Defoliation,SoG,FIMing,LST,ScrOG,",10.76,17,1,9,5,355,0.92,3.21
Red Poison Auto - No Equipment,Red Poison Auto®,Sweet Seeds,,"Top Crop,",Manual,"Coco Coir Grow Medium,",Paper Towel,"LST,Topping,",215.28,9,2,21,12,534,0.35,0.32
Train wreck,Trainwreck feminized seeds,Weedseedsexpress,850 watt,"Canna,",Manual,"Coco Coir Grow Medium,",,,Custom,13,1,65,12,737,2.79,2.4
13.2# Grow in 33cl 30x60x50 TS1000 Multi,Amnesia Lemon Feminized,Pev Seeds,150 watt,"PLAGRON.,",Manual,"Critical Auto - GrowBarato Custom Breeder & Strain,Soil Grow Medium,",Paper Towel,"LST,12-12 From Seed,",,15,,61,8,1090,,
Acapulco gold,Acapulco Gold,Barney'S Farm,150 watt,"True Plant Science (TPS),",Aeroponics,"Fox farm bushdoctor coco loco premium soil Grow Medium,",Glass Of Water,"Leaf tucking,LST,Defoliation,",3.28,15,1,48,18,1695,7.05,27.51
Testing some autos,Purple Monkey Auto,Exotic Seed,,,Manual,,Glass Of Water,,,11,,16,14,551,,
FastBuds Pineapple Express & Friends,Pineapple Express Auto,Fast Buds,,"BioBizz,",Manual,"Biobizz Light-mix Grow Medium,",Directly In Substrate,"Defoliation,Flushing,",,10,,22,10,823,,
Auto Amnesia Gold,Auto Amnesia Gold,Pyramid Seeds,"LED / 250W Custom,","Canna,",Manual,"Perlite Grow Medium,DNA Mills Coco/Cork Grow Medium,",Directly In Substrate,"Defoliation,LST,",16.15,11,2,12,10,625,,
First pot grow in a decade,Orange Sherbet Auto,Fast Buds,750 watt,"BioBizz,",Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Soil Grow Medium,",Peat Pellet,,,13,1,135,131,624,2.93,31.99
Holly snow 3x Orange hill special 1x,Holy Snow,Green House Seed Co.,310 watt,"Organics Nutrients,Green House Feeding,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Expanded Clay Grow Medium,",Paper Towel,"Defoliation,ScrOG,HST,Topping,LST,",12.92,16,2,22,15,1722,,42.33
Big Bud Auto Fast buds,Big Bud Auto,Fast Buds,150 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",,"Defoliation,",5.38,10,1,7,4,952,3.84,7.9
Arjan Haze #3,Arjans Haze #3,Green House Seed Co.,200 watt,"Lurpe Natural Solutions,",Manual,"Other Grow Medium,",Peat Pellet,,,15,,27,9,508,,
RQS Sweet ZZ,Sweet ZZ,Royal Queen Seeds,200 watt,"Canna,BIOCANNA,",Manual,"Canna Professional Plus Grow Medium,",Directly In Substrate,"LST,",,13,1,5,5,301,,0.53
21-22 Lemon Haze Auto - Expert Seeds,Lemon Haze Auto,Expert Seeds,300 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Leaf Tucking,LST,Defoliation,",13.12,8,4,1,0,184,,5.64
Masonic Twisted,Twisted wizard - Masonic seeds,Custom Breeder & Strain,,,Manual,,Other,"LST,Defoliation,Topping,",,20,,55,19,431,,
I.L.G.M. AK-47 auto (first grow),AK-47 Autoflower,ILGM,"LED / 150W Mars TS 1000,LED / 150W Mars TS 1000,","BuildASoil,",Manual,"Soil Grow Medium,Natures living soil autoflower mix Grow Medium,",Glass Of Water,"tender love and care,LST,Defoliation,",,FLOWERING,,14,18,675,,
Cheese grown from clone,Cheese,Custom Breeder & Strain,4800 watt,,Hydroponics,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Transplanted and defoliated,",376.74,8,50,3,3,265,,77.6
Dali Caucasian,Dali Fem,Caucasian Seeds,150 watt,"Top Crop,General Hydroponics (GHE),",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"Topping,Defoliation,LST,",10.76,16,1,246,37,1559,13.93,84.27
Banana Dance & 710 Mango,Freedom of Seeds - Banana Dance,Custom Breeder & Strain,300 watt,"Fox Farm,Real Growers,",Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",Paper Towel,"Topping,Defoliation,LST,FIMing,",9.84,16,2,37,20,904,8,8
RQS Contest - Watermelon Auto,Watermelon Automatic,Royal Queen Seeds,150 watt,"RQS Organic Nutrients,",Manual,"3rd Grow Cannabis – Best New Year’s resolution Awards,Coco Coir Grow Medium,",Directly In Substrate,"LST,Defoliation,",12.92,12,1,62,31,1886,2.96,15.03
Jack Herer grow (Jackie) 2nd photo grow,Jack Herer,Seedsman,800 watt,"General Hydroponics (GHE),",Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Coco Coir Grow Medium,Perlite Grow Medium,",,"Lollipopping,Topping,",52.49,19,1,6,2,732,5.22,39.75
Godfather OG Grow,Godfather OG,ILGM,600 watt,,Manual,"HAPPY FROG Grow Medium,",,,Custom,8,6,4,5,455,,69.84
Gorilla SFV OG,Gorrila Glue #4 (Expert Gorilla),Expert Seeds,100 watt,"Advanced Nutrients,Top Crop,General Hydroponics (GHE),",Manual,,,"Defoliation,",,9,1,16,3,594,,
Mars Hydro 900W mix led,Chocolate Haze,Royal Queen Seeds,900 watt,"Vitalink,Hesi,Green Buzz Nutrients,Ecothrive,General Hydroponics (GHE),",Hydroponics,"Mineral Wool Grow Medium,Soil Grow Medium,Perlite Grow Medium,",,,31,9,1,105,27,1168,,
Tropicana Cookies Auto,Tropicana Cookies Auto,Fast Buds,300 watt,"Aurora Innovations (Roots Organics),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Soil Grow Medium,",Directly In Substrate,"LST,Defoliation,",1.64,8,1,113,68,815,,5.47
White Strawberry Skunk - Soil,White Strawberry Skunk,Strain Hunters,346 watt,"Green Buzz Nutrients,TNC (The Nutrient Company),",Manual,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",Peat Pellet,"Topping,Main-Lining,LST,Defoliation,",7.75,14,4,124,37,1268,9.7,43.03
4x Hawaiian snow (my No.1),Hawaiian Snow,Green House Seed Co.,310 watt,"General Hydroponics (GHE),Canna,",Manual,"Soil Grow Medium,",Peat Pellet,"LST,HST,Defoliation,",7.1,15,4,65,21,1590,11.18,35.27
HuGe BuD VarieTy,Inseedious Soul Drain,Custom Breeder & Strain,600 watt,"General Hydroponics (GHE),Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,LST,",46.28,13,1,30,7,191,,35.38
Girl Scout Crack - SM,Girl Scout Crack,Seedsman,780 watt,"General Hydroponics (GHE),Advanced Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"Topping,LST,",46.28,13,1,37,6,332,,38.2
lemon pie auto,Lemon Pie Auto,Fast Buds,,"PLAGRON.,",Manual,"Biobizz all mix Grow Medium,",Glass Of Water,,,11,3,11,17,769,,6
4) FastBuds / Lemon Pie Auto / MicroGrow,Lemon Pie Auto,Fast Buds,95 watt,,Manual,"CoolGrows GT 24x24x36,Perlite Grow Medium,Coco Coir Grow Medium,",,"LST,ScrOG,Defoliation,",4,15,1,43,29,1329,3.77,
skunk auto weedseedshop,WSS Skunk Autoflowering,WeedSeedShop,240 watt,"BioBizz,Ecothrive,",Manual,"Soil Grow Medium,",Paper Towel,"without pruning or training,simple,LST,natural,",10.76,13,1,8,17,644,,8.47
Og kush CBD - Medical Seeds,OG Kush CBD,Medical Seeds,230 watt,"Namaste Nutrientes,General Hydroponics (GHE),Advanced Nutrients,Top Crop,Green House Feeding,",Manual,"Perlite Grow Medium,Soil Grow Medium,Corteza de pino compostada Grow Medium,Vermiculite Grow Medium,Turba rubia de Sphagnum Grow Medium,Musgo de turba Grow Medium,",Paper Towel,"LST,Defoliation,ScrOG,",6.89,15,1,132,54,872,2.47,6.7
Autoflowers for Autopots,Watermelon Candy Automatic,Zamnesia Seeds,465 watt,"Aptus,",,"Soil Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",Glass Of Water,"Defoliation,",3.23,12,1,116,153,1787,12.17,41.27
Laughing Buddha / Peyote Cookies,Peyote Cookies,Barney'S Farm,163 watt,"Advanced Nutrients,",Drip,"Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,Topping,Main-Lining,Defoliation,",,18,1,54,21,1837,,
Sour Orange Auto,Sour Orange Auto,The Bakery Seed Co.,550 watt,"Advanced Nutrients,General Hydroponics (GHE),Aptus,",Hydroponics,"Expanded Clay Grow Medium,",,"Topping,Defoliation,LST,",Custom,11,1,5,5,499,11.92,13.4
"Blue Dream, Gorilla Glue & MK Ultra",Blue Dream,ILGM,1000 watt,"Fox Farm,",Manual,"Soil Grow Medium,",Glass Of Water,"HST,LST,Topping,ScrOG,",25,14,1,66,8,1269,,2
Montreal x2,Auto Montreal,Divine Seeds,300 watt,"General Hydroponics (GHE),Purpinator,",Hydroponics,"Expanded Clay Grow Medium,",Paper Towel,,53.82,15,1,32,6,365,,20.74
Forbidden Runtz auto,Forbidden Runtz Auto,Fast Buds,600 watt,"Advanced Nutrients,",Manual,,,"LST,Defoliation,",12.92,11,1,14,9,471,,4.59
Six Grape Spring,Double Grape,Mephisto Genetics,240 watt,"Real Growers,Botanicare,Fox Farm,",Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,Defoliation,",26.25,13,3,61,45,1183,,
Permafrost - 01 - Bubba Island Kush,Bubba Island Kush,Dutch Passion,1075 watt,"PLAGRON.,Canna,",Hydroponics,"Expanded Clay Grow Medium,Mineral Wool Grow Medium,Soil Grow Medium,",Other,"Defoliation,",5.38,12,1,11,5,1097,5.11,44.45
Mimosa Cake AUTO FASTBUDS,Mimosa Cake Auto,Fast Buds,,"Green House Feeding,General Hydroponics (GHE),B.A.C.,",,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Directly In Substrate,"LST,12-12 From Seed,Defoliation,",10.76,13,1,13,8,652,0.46,
Exotic Grow,Devils Drip,Exotic Genetix,320 watt,"Lotus Nutrients,Botanicare,Real Growers,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Defoliation,LST,Main-Lining,HST,Topping,ScrOG,",213.25,12,2,24,14,969,,30
Starr's Gorilla Glue Auto,Gorilla Glue Auto,Barney'S Farm,150 watt,"Real Growers,Dutchpro USA,General Hydroponics (GHE),",Manual,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),Soil Grow Medium,",,"Defoliation,",,12,,54,6,1137,,
Cheese Head,Cheese Head,Custom Breeder & Strain,"LED / 200W SF-2000,","Real Growers,",Manual,"Roots 707 Grow Medium,",,,,12,1,13,5,214,3,13.65
Mornings are for mimosas,Mimosa Automatic,Royal Queen Seeds,310 watt,"RQS Organic Nutrients,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,,3.55,11,1,17,13,442,,2.58
First DWC Attempt - AK-47 Auto,34th Street - Auto AK-47,Custom Breeder & Strain,2000 watt,"General Hydroponics (GHE),Grotek,Humboldt Nutrients,",Hydroponics,"Expanded Clay Grow Medium,",Paper Towel,"Defoliation,LST,",24.61,14,2,13,8,608,,1.9
Gwen & Winnie: Mainlining Maiden Voyage,Fruity Pebble OG,Quebec Cannabis Seeds QCS,2000 watt,"Advanced Nutrients,PlantiMatter,General Hydroponics (GHE),Grotek,Humboldt Nutrients,",Manual,"Soil Grow Medium,",,"LST,Defoliation,Main-Lining,",24.61,14,1,9,3,356,0.78,0.78
Royal Queen Seeds Fat Banana Automatic,Fat Banana Automatic,Royal Queen Seeds,400 watt,"Prescription Blend,Humboldts Secret,Terpinator,Advanced Nutrients,",Manual,"CoolGrows 2-In-1 GT 60x48x80,Soil Grow Medium,",Glass Of Water,"LST,",52.49,10,1,13,22,963,2.26,14.31
Wedding cheesecake,Wedding Cheesecake Auto,Fast Buds,100 watt,"Fox Farm,",Manual,"Soil Grow Medium,",Peat Pellet,"HST,LST,Defoliation,",,13,3,28,10,904,,
GHSC - Wonder Pie & Flavory Seeds - MnZ,Wonder Pie,Green House Seed Co.,60 watt,"Green House Feeding,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Other Grow Medium,",Paper Towel,"Topping,LST,Defoliation,Lollipopping,",5.92,12,1,18,5,638,,7.05
The bakers wedding cake,Bakery seeds,Custom Breeder & Strain,"LED / 120W CR600 (1000W),","BioBizz,",Manual,"Soil Grow Medium,",,"LST,Defoliation,",,7,,2,1,124,,
Skull Candy auto - Dark Empire Seeds,Dark Empire - Skull Candy auto fem,Custom Breeder & Strain,100 watt,"Cutting Edge Solutions,",Manual,"Coco Coir Grow Medium,",Paper Towel,"LST,",9.84,14,1,12,10,126,0.25,1.62
First Time -Gelato#33 & NL Auto + JH Fem,Auto Gelato #33,Advanced Seeds,300 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"12-12 From Seed,Schwazzing,LST,Topping,FIMing,Defoliation,",7.75,20,1,72,38,1773,,
Euforia,Auto Euforia,Dutch Passion,,"Advanced Nutrients,",Manual,"Perlite Grow Medium,Soil Grow Medium,",Paper Towel,,,11,1,24,8,1181,2.36,9.17
GDP Auto x Gumberry Auto/SANlight Q6W G2,GDP Auto X Gumberry Auto,Garden Of Green,245 watt,"PLAGRON.,",Manual,"Plagron Lightmix Grow Medium,",Directly In Substrate,"SoG,",7.53,12,3,13,9,505,,24.69
Mimosa Auto & AK Auto,Mimosa Auto,Tastebudz Genetics,400 watt,"General Hydroponics (GHE),Humboldts Secret,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,HST,FIMing,LST,",,10,,9,9,625,,
Gorilla Cookies - 2nd attempt,Gorilla Cookies Auto,Fast Buds,600 watt,"BioBizz,Dutchpro USA,Emerald Harvest,Terpinator,Atami,",Manual,"Biobizz lightmix Grow Medium,",Glass Of Water,"Topping,Main-Lining,LST,Defoliation,",10.76,5,2,12,6,634,,22.75
Forbidden Runtz - 1st attempt,Forbidden Runtz Auto,Fast Buds,600 watt,"BioBizz,Dutchpro USA,Terpinator,Atami,Emerald Harvest,",Manual,"Biobizz Lightmix Grow Medium,",Glass Of Water,"Topping,LST,Defoliation,",12.92,10,2,46,12,1135,,21.34
CBG Time,CBG Time,Pev Seeds,680 watt,"BioBizz,Canna,",Manual,"Soil Grow Medium,",Other,"LST,",10.76,12,1,26,4,297,3.88,21.16
First Grow Dutch Passion,Auto Skywalker Haze,Dutch Passion,300 watt,"Green House Feeding,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Worm Castings Grow Medium,",,"LST,Defoliation,",,12,,20,3,1729,,
Do-Si-Dos Automatic in the kitchen,Do-Si-Dos Automatic,Zamnesia Seeds,100 watt,"Hesi,BioBizz,",,"Soil Grow Medium,",Directly In Substrate,"Defoliation,LST,",3.88,9,1,8,4,600,0.99,2.36
Wedding Cake Auto in the kitchen,Wedding Cake Automatic,Zamnesia Seeds,100 watt,"Hesi,BioBizz,",Manual,"Soil Grow Medium,",Directly In Substrate,"LST,Defoliation,",3.88,9,1,11,13,805,1.83,6.98
Mothers finest,Yuhbary,Anesia Seeds,930 watt,"Plant Magic,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Other Grow Medium,",,"Defoliation,Topping,ScrOG,SoG,LST,",,16,4,196,103,7156,,
Indoor fun,Unknown,Custom Breeder & Strain,400 watt,,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,,Custom,0,6,1,0,44,,24
Getting up to date with some grows,Cookies fam gene,Cookies Seed Bank,,,Drip,"Coco Coir Grow Medium,Perlite Grow Medium,Clay pebbles Grow Medium,",,,,9,5,0,8,122,,15
Previous grows,Bagseee,Custom Breeder & Strain,600 watt,,Drip,"Coco Coir Grow Medium,Perlite Grow Medium,Wormcastings Grow Medium,",,,26.25,10,10,2,1,172,,30
Purple Lemonade / Lemon Pie auto run,Purple Lemonade Auto,Fast Buds,300 watt,"Gaia Green,Fish Head Farms,",Drip,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",Glass Of Water,"LST,Defoliation,",13.12,10,1,26,13,1324,,
Previous grows,Outdoor my own breed,Custom Breeder & Strain,,,Manual,"Soil Grow Medium,",,,,20,6,1,2,78,,100
Blue Dream Auto,Blue Dream autoflower seeds,Weedseedsexpress,680 watt,"General Hydroponics (GHE),Fox Farm,",Manual,"Gorilla Grow Tent GGT 5x5,Soil Grow Medium,Perlite Grow Medium,",Rockwool Cube,"LST,Topping,",53.82,11,4,23,9,557,,45
Afghan big bud,Dutchman seeds Afghan big bud,Custom Breeder & Strain,300 watt,"True Plant Science (TPS),",Aeroponics,"Fox farm bushdoctor coco loco premium soil Grow Medium,",Glass Of Water,"LST,Leaf tucking,Defoliation,",10.76,14,1,23,10,438,9.88,32.28
White Widow Auto,White Widow Auto,Seedsman,300 watt,"Aurora Innovations (Roots Organics),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Soil Grow Medium,",Directly In Substrate,"LST,Defoliation,",1.64,9,1,85,48,693,,8.82
Divine Seeds Moon Rock Auto,Auto Moon Rock,Divine Seeds,400 watt,"Real Growers,Superthrive,Bloom City Organics,Dr. Earth,BuildASoil,",Manual,"Perlite Grow Medium,Coco Coir Grow Medium,Ocean Forest Potting Soil Grow Medium,Worm castings/greensand Grow Medium,",Glass Of Water,"LST,Topping,Defoliation,",,10,,18,4,231,,
Kannabia Baby Boom Auto and Szhlux400,Baby Boom Auto,Kannabia Seed Company,400 watt,"Real Growers,Superthrive,Bloom City Organics,Dr. Earth,Gaia Green,",Manual,"Perlite Grow Medium,Coco Coir Grow Medium,Ocean Forest Potting Soil Grow Medium,Worm castings/greensand Grow Medium,",Glass Of Water,"LST,Topping,Defoliation,",91.86,9,1,16,5,377,,
La verduure !!!,Amnesia Haze,Royal Queen Seeds,150 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"ScrOG,FIMing,Defoliation,LST,",3.88,9,1,14,16,793,,1.41
Spécial kush RQS concours,Special Kush #1,Royal Queen Seeds,450 watt,"RQS Organic Nutrients,Aptus,Platinium Hydroponics,Advanced Nutrients,Canna,",,"Soil Grow Medium,",Peat Pellet,"SoG,",,12,,30,4,805,,
K-train,K-Train,WeedSeedShop,,"RQS Organic Nutrients,Aptus,Platinium Hydroponics,Advanced Nutrients,Canna,",,"Soil Grow Medium,",,"SoG,",Custom,10,,31,6,152,,
(GoG)SuperCriticalBud X New-YorkDiésel,super diesel,Custom Breeder & Strain,450 watt,"Aptus,Platinium Hydroponics,RQS Organic Nutrients,Advanced Nutrients,Canna,",Manual,"Soil Grow Medium,",,"SoG,",Custom,10,,25,2,163,,
805 Purple Project 2022 run,Wedding Cake,ILGM,480 watt,"Xtreme Gardening,BuildASoil,",Drip,"Gorilla Grow Tent GGT Lite 4x4,Soil Grow Medium,Pumice Grow Medium,Rice hulls Grow Medium,Other Grow Medium,",Glass Of Water,"LST,ScrOG,",16,19,3,26,13,696,16,16
Divine Seeds AK 47 XL,AK 47 XL,Divine Seeds,"LED / 100W XS1000,LED / 100W XS1000,","Growth Technology,FloraFlex,",Hydroponics,"Hydroponics Grow Medium,",,"LST,Topping,Defoliation,",,FLOWERING,,10,7,212,,
Auto Mazar #1,Auto Mazar,Dutch Passion,,,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"Topping,",,18,1,22,28,1216,,0.04
Planet of the Grapes - ETHOS,Planet Of The Grapes,ETHOS Genetics,250 watt,"Green Planet Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Peat Pellet,,Custom,13,1,12,9,1064,,3.88
MEDEA,Medea Autoflowering,Caucasian Seeds,,"Hesi,",,"Soil Grow Medium,",,,861.11,9,1,0,0,66,5.29,1.23
pirkush,PirKush Auto,Caucasian Seeds,,"Advanced Nutrients,",,,,"Defoliation,LST,",,6,,3,3,173,,
Gorilla Cookies auto,Gorilla Cookies Auto,Fast Buds,440 watt,"General Hydroponics (GHE),",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,Defoliation,",39.37,11,1,20,9,1194,3.99,
Lsd auto 2022,LSD Auto,Barney'S Farm,"LED / 200W Custom,LED / 200W Custom,","BioBizz,",Manual,"Soil Grow Medium,",Directly In Substrate,"LST,FIMing,ScrOG,",Custom,FLOWERING,,19,9,1800,,
Fastbuds Blackberry,Blackberry Auto,Fast Buds,300 watt,"Fox Farm,General Hydroponics (GHE),",Manual,"Soil Grow Medium,",Paper Towel,,26.25,9,1,15,12,479,,8.18
Critical Purple Kush - VPD FTW,Critical Purple Kush,Seedsman,400 watt,"Greenleaf Nutrients,Bloom City Organics,Espoma,",Drip,"Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,"Drought stress,Topping,Defoliation,Lollipop,HST,",6.25,12,2,3,7,515,11.25,30.3
Maltezerz ll,Maltezerz,G13 Labs,310 watt,"Aurora Innovations (Roots Organics),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Soil Grow Medium,",,"ScrOG,",1.64,9,1,79,41,504,1.38,6.63
floo_green crack,Green Crack Auto,Fast Buds,150 watt,"Atami,BioBizz,PLAGRON.,Bio Nova,",Manual,"Soil Grow Medium,Perlite Grow Medium,Soil Grow Medium,",Paper Towel,"LST,Topping,FIMing,Defoliation,",6.46,9,1,67,23,1189,2.54,7.41
floo_forbidden runtz,Forbidden Runtz Auto,Fast Buds,150 watt,"Atami,BioBizz,PLAGRON.,Bio Nova,",Manual,"Soil Grow Medium,Perlite Grow Medium,Soil Grow Medium,",Paper Towel,"LST,FIMing,Topping,Defoliation,",6.46,9,1,55,14,1123,2.79,6.35
MEDEA AUTO,Medea Autoflowering,Caucasian Seeds,480 watt,"General Hydroponics (GHE),",,"Gorilla Soil Grow Medium,Gorilla Coco Grow Medium,",,"LST,Defoliation,",6.46,9,1,122,12,387,6.98,34.57
Seedsman's Gelato O.G. Auto under Szhlux,Gelat.OG Auto,Seedsman,400 watt,"Real Growers,Bloom City Organics,General Hydroponics (GHE),Dr. Earth,Superthrive,",Manual,"Ocean Forest Potting Soil Grow Medium,Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,Topping,Defoliation,",91.86,11,1,7,16,561,8.36,
